Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,1,Yes,No,48,Yes,No,DSL,No,No internet service,No internet service,Yes,No,No internet service,Two year,No,Bank transfer (automatic),57.08,2632.37,No
Female,0,No,No,18,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Electronic check,38.73,708.71,No
Male,1,No,Yes,44,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,88.04,3706.34,No
Male,0,No,Yes,33,Yes,No,DSL,Yes,No internet service,No internet service,No,No internet service,No internet service,One year,No,Mailed check,42.61,1370.9,No
Female,0,Yes,No,52,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),93.35,4736.36,No
Female,1,Yes,No,54,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,106.58,5479.47,No
Female,0,No,Yes,5,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),40.21,205.02,No
Female,0,Yes,No,15,Yes,Yes,No,No,No,No,Yes,Yes,No,Two year,No,Mailed check,109.31,1696.99,Yes
Female,1,No,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),72.67,5019.06,Yes
Male,1,No,No,31,No,Yes,DSL,No,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,24.39,760.44,No
Male,0,No,No,71,Yes,Yes,DSL,No internet service,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),48.33,3387.99,No
Female,0,Yes,Yes,9,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,95.86,881.93,No
Female,0,No,No,23,Yes,No,DSL,No internet service,No,No,No internet service,No,No internet service,Month-to-month,No,Mailed check,24.66,545.54,No
Male,1,Yes,Yes,36,Yes,No,Fiber optic,Yes,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,84.21,3053.08,No
Male,0,No,Yes,7,Yes,Yes,DSL,No,No internet service,No,No,No,No internet service,Month-to-month,No,Credit card (automatic),112.77,790.26,No
Male,1,Yes,No,21,Yes,Yes,DSL,No internet service,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Mailed check,22.44,480.48,No
Male,0,No,No,2,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,Yes,Yes,One year,Yes,Bank transfer (automatic),32.73,62.77,No
Male,1,No,Yes,56,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),62.01,3329.85,No
Male,0,No,Yes,62,Yes,No,DSL,No internet service,Yes,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),51.85,3176.29,Yes
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,No internet service,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),36.26,2643.4,No
Female,0,Yes,No,60,Yes,No,Fiber optic,Yes,No,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,110.22,6507.57,No
Male,1,Yes,No,50,Yes,Yes,DSL,No,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Mailed check,49.39,2414.66,Yes
Male,1,No,No,22,Yes,Yes,DSL,No internet service,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,31.86,722.26,No
Male,0,No,No,69,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,One year,No,Electronic check,41.58,2734.61,No
Female,1,Yes,Yes,26,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),78.15,2014.54,Yes
Female,0,Yes,No,48,Yes,No,No,No,No,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,38.6,1850.49,No
Female,1,No,Yes,16,Yes,Yes,DSL,Yes,Yes,No internet service,No internet service,No,No,Two year,No,Bank transfer (automatic),46.52,773.71,No
Male,1,Yes,Yes,62,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,Yes,Yes,Month-to-month,No,Electronic check,80.86,4851.82,Yes
Female,1,No,No,7,Yes,No phone service,Fiber optic,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Electronic check,31.16,228.01,No
Female,1,Yes,No,52,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No internet service,One year,Yes,Electronic check,68.2,3420.79,No
Female,1,Yes,Yes,40,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No internet service,One year,Yes,Mailed check,58.42,2432.78,No
Male,0,Yes,Yes,38,Yes,No phone service,Fiber optic,Yes,No,No internet service,Yes,No internet service,No internet service,One year,No,Bank transfer (automatic),38.04,1380.85,Yes
Female,0,No,No,7,Yes,No,DSL,Yes,No,No internet service,No internet service,No,Yes,One year,No,Bank transfer (automatic),116.79,848.67,No
Female,0,Yes,No,2,Yes,Yes,DSL,No,No,No,Yes,Yes,No internet service,Two year,Yes,Mailed check,69.04,132.82,No
Male,1,Yes,Yes,68,No,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,No,Two year,Yes,Credit card (automatic),95.28,6162.59,No
Female,0,Yes,No,4,No,Yes,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Mailed check,56.31,228.19,No
Female,1,Yes,No,26,Yes,No phone service,No,No internet service,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),84.47,2272.6,Yes
Female,0,No,Yes,47,Yes,No phone service,Fiber optic,Yes,No,No internet service,Yes,No internet service,No,Two year,No,Mailed check,63.41,2961.31,No
Female,0,Yes,No,5,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No,Two year,No,Bank transfer (automatic),51.21,267.49,No
Male,0,No,Yes,62,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No internet service,Yes,Two year,No,Mailed check,77.05,4600.92,No
Male,0,No,No,40,Yes,Yes,DSL,No internet service,Yes,No,No,Yes,No,One year,No,Electronic check,108.3,4376.75,No
Male,1,Yes,No,47,Yes,No,Fiber optic,No,No internet service,No,No,No,No,Month-to-month,No,Credit card (automatic),109.94,5075.85,Yes
Male,1,No,Yes,7,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,No internet service,One year,Yes,Credit card (automatic),95.77,681.79,No
Male,1,Yes,No,66,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,56.0,3829.72,No
Female,0,No,No,9,Yes,No phone service,DSL,No,No internet service,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,85.16,734.01,No
Female,1,No,No,14,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,No internet service,Yes,One year,No,Mailed check,110.08,1472.53,No
Male,0,No,No,28,Yes,Yes,DSL,No internet service,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Mailed check,45.13,1221.4,No
Female,0,Yes,No,47,Yes,No phone service,DSL,No,No,Yes,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),92.95,4284.68,No
Female,0,Yes,Yes,16,Yes,No,No,No internet service,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),88.4,1375.41,Yes
Female,1,No,No,46,Yes,Yes,DSL,No internet service,No internet service,No,No internet service,Yes,No,One year,No,Credit card (automatic),59.23,2833.48,No
Female,0,No,No,29,No,No,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,57.3,1589.47,No
Female,1,Yes,No,29,Yes,No,DSL,No,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),104.05,2990.38,Yes
Female,1,No,No,16,Yes,Yes,DSL,No,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),50.96,806.19,No
Female,1,Yes,Yes,64,Yes,No,DSL,No,No internet service,No internet service,Yes,No internet service,No internet service,One year,No,Bank transfer (automatic),91.38,5806.55,No
Female,1,Yes,No,33,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,44.47,1454.28,No
Female,0,Yes,No,34,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,117.2,4051.85,No
Female,0,Yes,Yes,66,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,43.37,2963.23,No
Male,1,Yes,No,33,Yes,No,No,No,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),30.15,983.25,No
Male,1,No,No,31,No,No phone service,DSL,Yes,No,No internet service,No,No,No,Two year,No,Bank transfer (automatic),48.55,1469.35,No
Male,0,No,No,59,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,Yes,No internet service,One year,No,Mailed check,24.71,1389.7,No
Male,1,Yes,Yes,72,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),52.2,3703.18,No
Male,0,Yes,No,23,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,103.85,2296.66,No
Female,0,No,No,23,Yes,No,No,Yes,No internet service,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),28.95,656.98,No
Male,1,Yes,Yes,71,Yes,Yes,DSL,No internet service,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),84.73,6270.29,No
Female,1,No,Yes,28,Yes,Yes,DSL,No internet service,No internet service,No,No internet service,Yes,No,Month-to-month,No,Electronic check,43.82,1275.48,No
Female,1,Yes,Yes,25,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,82.88,2094.66,Yes
Female,0,No,No,27,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),92.54,2515.09,Yes
Female,1,No,Yes,48,Yes,Yes,No,No,No,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),35.84,1805.51,No
Female,1,No,No,54,Yes,No phone service,No,No,No,Yes,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),32.08,1652.81,No
Male,0,No,No,6,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,22.9,137.37,No
Female,1,No,Yes,2,Yes,No,DSL,No,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,26.22,50.69,No
Female,1,Yes,Yes,37,Yes,No phone service,No,No internet service,Yes,No,No internet service,No internet service,Yes,Two year,No,Electronic check,85.19,3161.6,No
Female,1,Yes,No,12,Yes,No,Fiber optic,No internet service,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,41.65,520.9,No
Female,1,Yes,No,16,Yes,Yes,DSL,Yes,No,No,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),112.75,1827.49,No
Female,1,Yes,No,50,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,86.54,4285.74,No
Female,1,Yes,No,70,Yes,No,DSL,Yes,No internet service,No,No internet service,Yes,Yes,Month-to-month,No,Electronic check,52.73,3653.4,No
Female,1,Yes,Yes,3,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,Two year,No,Bank transfer (automatic),93.76,270.91,No
Male,0,Yes,No,12,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,No,No internet service,One year,Yes,Bank transfer (automatic),57.41,709.31,No
Female,0,No,No,71,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,No internet service,Yes,One year,No,Bank transfer (automatic),86.92,6258.74,No
Male,0,Yes,No,62,Yes,No phone service,DSL,No internet service,No,No,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),37.29,2312.58,No
Male,0,Yes,No,57,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,One year,No,Electronic check,19.27,1147.95,No
Female,0,Yes,Yes,21,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No internet service,One year,No,Mailed check,111.07,2329.04,No
Male,1,Yes,No,51,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,No,No,Month-to-month,Yes,Mailed check,112.52,5986.5,No
Male,0,Yes,No,4,Yes,No,DSL,No,No,No,No internet service,No,Yes,Month-to-month,No,Electronic check,80.29,310.35,No
Male,1,No,Yes,52,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,No,Two year,Yes,Electronic check,48.92,2520.43,No
Female,0,No,Yes,47,Yes,No phone service,DSL,Yes,No,No,No internet service,No,No,One year,No,Credit card (automatic),58.0,2599.38,No
Male,1,No,No,68,Yes,No,DSL,No,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,48.24,3429.81,No
Female,0,No,No,45,Yes,No phone service,No,Yes,No internet service,No,Yes,No internet service,No,Two year,No,Bank transfer (automatic),111.69,4956.42,No
Female,1,No,Yes,62,Yes,Yes,DSL,Yes,No internet service,No,No internet service,No,Yes,One year,No,Electronic check,32.36,1937.91,No
Male,0,Yes,Yes,19,Yes,No,No,No internet service,Yes,No,Yes,No,No internet service,Month-to-month,No,Electronic check,112.86,2191.79,Yes
Male,0,No,No,30,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,No,Mailed check,112.03,3457.33,Yes
Male,0,Yes,No,55,Yes,No,DSL,Yes,Yes,No internet service,Yes,Yes,Yes,One year,Yes,Electronic check,25.41,1434.49,No
Male,0,No,No,60,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,Two year,No,Electronic check,26.69,1554.46,No
Male,0,No,No,43,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,No,Electronic check,113.73,4734.68,No
Female,1,No,Yes,64,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,34.56,2131.93,No
Male,1,Yes,No,3,Yes,Yes,DSL,No internet service,No,Yes,No,No,No internet service,One year,Yes,Bank transfer (automatic),64.42,185.2,No
Male,1,No,Yes,2,No,No phone service,DSL,No,Yes,Yes,No internet service,No,Yes,One year,No,Electronic check,111.95,222.44,No
Male,1,No,No,16,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,59.81,961.42,No
Male,0,No,No,32,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),53.6,1667.24,Yes
Female,1,No,No,26,Yes,No phone service,DSL,No,No,No,Yes,Yes,No internet service,Two year,No,Mailed check,25.45,686.65,No
Male,0,Yes,Yes,59,Yes,No,No,Yes,No internet service,Yes,No,No internet service,Yes,One year,No,Credit card (automatic),63.24,3641.23,No
Male,1,Yes,No,54,Yes,No phone service,No,Yes,No,No internet service,Yes,No internet service,No internet service,Two year,No,Mailed check,111.57,6008.17,No
Male,0,No,Yes,34,No,No phone service,Fiber optic,No,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),81.2,2651.11,No
Male,0,Yes,Yes,29,Yes,No,Fiber optic,No,No internet service,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,99.38,2910.99,Yes
Female,1,Yes,Yes,64,Yes,Yes,No,No internet service,No internet service,No,No,No,No internet service,Month-to-month,Yes,Mailed check,57.27,3617.88,No
Female,0,Yes,No,15,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,112.08,1635.47,Yes
Male,0,No,Yes,20,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),44.97,858.71,Yes
Male,1,Yes,No,69,Yes,No,DSL,No internet service,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,115.08,8143.25,No
Male,1,Yes,No,35,Yes,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),114.88,4036.99,No
Female,1,No,No,33,Yes,No,DSL,No,Yes,No internet service,Yes,No internet service,Yes,One year,No,Electronic check,61.3,2014.49,No
Male,0,Yes,Yes,51,Yes,No phone service,DSL,Yes,No,Yes,No,Yes,No internet service,One year,Yes,Mailed check,19.02,933.93,No
Female,1,Yes,No,14,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,26.77,365.55,Yes
Male,1,No,No,27,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),112.19,3180.47,No
Male,0,No,No,24,Yes,No,DSL,Yes,No,Yes,No,No internet service,No internet service,Two year,No,Credit card (automatic),51.85,1235.22,No
Male,1,Yes,No,44,Yes,No,DSL,No,Yes,Yes,No,Yes,No internet service,One year,Yes,Mailed check,19.66,902.78,No
Female,0,Yes,No,10,Yes,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No,No,Month-to-month,Yes,Mailed check,95.01,991.82,No
Female,1,No,No,61,Yes,No,Fiber optic,No internet service,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),41.86,2444.12,No
Male,0,Yes,No,36,Yes,Yes,DSL,No internet service,No internet service,No internet service,Yes,Yes,No internet service,Two year,No,Credit card (automatic),78.89,2770.78,No
Male,1,No,No,13,Yes,No phone service,Fiber optic,No internet service,Yes,No,No,No internet service,Yes,One year,Yes,Credit card (automatic),36.01,464.19,No
Male,1,No,No,4,Yes,No phone service,DSL,No internet service,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),33.67,130.75,No
Female,0,No,Yes,62,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,74.25,4605.03,Yes
Male,1,Yes,Yes,8,Yes,No,DSL,No,No internet service,No internet service,No,No,No internet service,Two year,No,Mailed check,50.23,406.04,No
Male,0,No,No,44,Yes,Yes,DSL,No internet service,No,Yes,Yes,Yes,No,Two year,No,Mailed check,33.83,1420.3,No
Female,1,Yes,No,57,Yes,No,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,112.52,6153.38,No
Male,1,No,No,54,Yes,Yes,DSL,Yes,No,No internet service,Yes,No,Yes,One year,Yes,Electronic check,92.7,4809.25,No
Female,1,No,No,22,Yes,Yes,Fiber optic,No,No internet service,No,Yes,Yes,No,Month-to-month,No,Electronic check,66.76,1441.1,Yes
Female,0,No,No,59,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),73.86,4565.16,No
Male,0,Yes,No,47,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,No internet service,No,One year,Yes,Mailed check,87.53,4110.19,No
Male,1,Yes,Yes,22,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),54.13,1182.65,No
Female,0,Yes,No,33,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,No,One year,Yes,Bank transfer (automatic),71.66,2368.02,No
Female,1,Yes,No,56,Yes,No phone service,No,No,Yes,Yes,Yes,No internet service,No,Month-to-month,No,Mailed check,110.0,6356.46,No
Male,1,No,No,67,Yes,No,DSL,No,No internet service,No internet service,No internet service,No internet service,No,One year,Yes,Credit card (automatic),37.42,2497.92,No
Male,1,No,Yes,56,Yes,No,DSL,Yes,No,No internet service,No,No internet service,Yes,One year,Yes,Credit card (automatic),105.48,5857.06,No
Male,0,Yes,Yes,18,Yes,No phone service,DSL,No,Yes,No,Yes,No internet service,Yes,Two year,Yes,Credit card (automatic),52.81,974.22,No
Male,1,Yes,No,35,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No,No,Month-to-month,No,Electronic check,36.95,1265.29,No
Female,0,No,No,39,Yes,No,Fiber optic,Yes,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),62.96,2363.23,No
Female,0,Yes,No,31,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),76.79,2370.86,Yes
Female,0,Yes,Yes,70,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,26.98,1972.22,Yes
Female,0,Yes,No,38,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,80.97,3141.82,No
Female,0,Yes,No,18,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),44.83,844.8,No
Female,1,Yes,No,12,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,50.11,599.55,Yes
Male,0,No,Yes,42,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),115.47,4686.53,No
Male,1,Yes,No,12,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,No,No,Two year,Yes,Electronic check,74.55,888.11,Yes
Female,1,No,No,20,Yes,No,No,Yes,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Mailed check,117.68,2458.74,No
Female,1,Yes,No,34,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),96.3,3421.93,No
Female,1,Yes,No,20,No,No phone service,Fiber optic,No internet service,No internet service,Yes,No,No,No,Month-to-month,No,Mailed check,100.14,2024.03,No
Male,1,Yes,Yes,61,Yes,No,Fiber optic,No internet service,Yes,No,No,No internet service,No,Two year,Yes,Bank transfer (automatic),80.25,4773.64,No
Female,0,No,No,48,Yes,Yes,Fiber optic,No internet service,Yes,No,No,Yes,No internet service,One year,No,Electronic check,44.1,2093.8,No
Male,0,No,No,56,Yes,No,DSL,No,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,117.71,6533.43,No
Male,1,No,No,21,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,30.42,626.44,Yes
Female,0,No,No,12,Yes,No phone service,DSL,Yes,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,65.11,803.89,No
Female,0,Yes,No,44,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),80.96,3401.91,No
Male,0,Yes,Yes,63,Yes,No,DSL,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),87.44,5532.02,No
Male,0,Yes,No,31,Yes,No,No,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,55.09,1627.33,No
Female,0,Yes,No,59,Yes,No phone service,DSL,Yes,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,69.33,4138.61,No
Male,1,Yes,No,62,Yes,Yes,DSL,No internet service,No,Yes,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),32.71,1991.51,No
Male,1,No,No,65,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,98.39,6664.43,No
Male,1,No,Yes,72,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.53,1434.38,No
Male,1,Yes,Yes,7,Yes,No phone service,DSL,No internet service,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),70.69,481.01,No
Female,1,No,No,1,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No internet service,No internet service,One year,Yes,Mailed check,79.54,81.13,Yes
Male,0,Yes,No,47,Yes,Yes,DSL,No internet service,Yes,No,No internet service,No,No,One year,Yes,Electronic check,85.6,4052.2,No
Male,1,Yes,No,29,Yes,No phone service,Fiber optic,No,No internet service,No,No,No internet service,No internet service,One year,Yes,Mailed check,45.07,1320.88,Yes
Female,0,No,No,51,No,Yes,Fiber optic,Yes,No,No,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),44.21,2175.1,No
Male,1,Yes,No,53,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,No internet service,Yes,One year,No,Mailed check,29.59,1582.28,No
Male,1,No,No,57,Yes,No phone service,No,No internet service,No,No internet service,No,Yes,Yes,One year,No,Electronic check,34.03,1988.37,No
Male,0,Yes,No,49,Yes,No,Fiber optic,No,No internet service,No,No,Yes,Yes,Two year,No,Mailed check,77.43,3797.38,No
Female,0,Yes,No,52,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),32.97,1723.33,Yes
Female,1,No,Yes,15,Yes,No,DSL,Yes,No,No,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),42.34,634.9,Yes
Female,1,No,Yes,71,No,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,26.23,1775.49,No
Female,1,No,No,45,Yes,No phone service,DSL,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,34.29,1576.12,No
Female,0,No,Yes,45,Yes,Yes,DSL,Yes,No,Yes,No internet service,No internet service,No,Two year,Yes,Electronic check,67.31,2934.21,No
Female,0,Yes,No,33,Yes,No phone service,Fiber optic,No internet service,Yes,No,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,61.58,2112.24,Yes
Female,1,No,No,26,No,No,Fiber optic,No internet service,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),34.47,906.91,No
Male,0,Yes,Yes,48,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,96.1,4804.71,No
Male,1,Yes,No,34,Yes,No,No,No,No internet service,No internet service,Yes,No internet service,No internet service,Two year,Yes,Mailed check,24.94,876.95,No
Female,0,No,No,38,Yes,No phone service,No,No,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,112.19,4319.7,Yes
Female,1,No,Yes,10,No,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,110.05,1087.03,No
Male,1,No,No,58,No,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Mailed check,23.75,1401.36,No
Male,0,Yes,No,6,Yes,No phone service,DSL,Yes,No internet service,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.79,324.66,Yes
Female,1,Yes,No,4,Yes,No phone service,No,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,41.44,167.68,No
Male,0,No,No,51,Yes,No phone service,DSL,No,Yes,No,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),54.45,2782.36,Yes
Male,0,No,No,46,Yes,No phone service,DSL,No,No,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.58,995.45,No
Male,1,No,No,50,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,Yes,Yes,Yes,One year,Yes,Credit card (automatic),90.28,4708.17,No
Female,0,Yes,No,10,No,No,DSL,No internet service,No internet service,No,No,No,No internet service,Two year,Yes,Bank transfer (automatic),100.73,1035.2,No
Male,1,Yes,No,19,Yes,No,DSL,No,Yes,Yes,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),111.38,2189.09,Yes
Male,1,Yes,No,40,Yes,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),57.09,2365.67,No
